Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
AVGO US Equity,,,,,,,,0.0435,0.0534,0.0306,0.0128,0.0278,0.0581,0.12,0.177,0.2147,0.2875,0.2849,0.279,0.2503,0.2555,0.2352,0.2261,0.2148,0.2178,0.1986,0.1916,0.1864,0.1942,0.202,0.0815,0.0782,0.1084,0.1405,0.1341,0.1615,0.1681,0.0573,0.0469,0.0414,0.0403,0.0268,0.0379,0.0431,0.0481,0.1105,0.1296,0.1354,0.1181,0.0711,0.0666
BR US Equity,,,,,0.0694,0.0697,0.0595,0.0705,0.0701,0.0774,0.065,0.0922,0.0847,0.0985,0.0975,0.0842,0.0777,0.1059,0.1151,0.117,0.1029,0.1018,0.1054,0.107,0.1069,0.1102,0.1318,0.1348,0.1287,0.1249,0.126,0.1279,0.1185,0.1259,0.1316,0.1319,0.1262,0.1181,0.1189,0.1146,0.109,0.1109,0.1134,0.1275,0.1264,0.1369,0.1417,0.1328,0.1421,0.1338,0.1214
CDNS US Equity,0.0475,0.0543,0.0641,0.081,0.0607,0.038,-0.0295,-0.669,-0.7299,-0.7569,-0.7582,-0.079,-0.0556,0.0217,0.117,0.1005,0.11,0.0822,0.0225,0.0394,0.0528,0.0586,0.0752,0.2066,0.2113,0.1887,0.1742,0.0679,0.0613,0.0598,0.0627,0.0634,0.0659,0.0831,0.0971,0.093,0.0987,0.1143,0.1142,0.1067,0.104,0.1122,0.1235,0.1352,0.1344,0.1361,0.152,0.1553,0.1673,0.1755,0.1826
CERN US Equity,0.0819,0.0846,0.0842,0.077,0.0811,0.0811,0.0866,0.1057,0.106,0.1071,0.1055,0.096,0.0997,0.1017,0.103,0.1036,0.1062,0.1078,0.1098,0.1131,0.116,0.1185,0.1193,0.1176,0.1204,0.1206,0.1203,0.1196,0.1196,0.1214,0.1224,0.1241,0.1157,0.1185,0.1217,0.1259,0.1197,0.1191,0.1193,0.1213,0.1227,0.1202,0.1174,0.1225,0.1177,0.113,0.1084,0.0962,0.0951,0.0948,0.095
CRM US Equity,0.0009,0.0025,0.0083,0.0162,0.0209,0.03,0.0339,0.0347,0.0339,0.0404,0.0451,0.0492,0.0379,0.0365,0.0313,0.0301,0.0181,0.012,0.0068,-0.0007,-0.0021,-0.0073,-0.0099,-0.0197,-0.0199,-0.0271,-0.0093,-0.0215,-0.0317,-0.0336,-0.0461,-0.036,-0.0266,-0.0207,-0.0138,-0.0133,-0.0079,-0.0035,0.0151,0.0157,0.0197,0.0178,0.0055,0.0145,0.0175,0.0263,0.0305,0.0276,0.0259,0.024,0.0211
CTSH US Equity,0.2195,0.2192,0.2214,0.2213,0.2224,0.2156,0.21,0.2045,0.2021,0.2001,0.1965,0.1921,0.1979,0.1924,0.1879,0.1853,0.1941,0.1903,0.1816,0.1748,0.1781,0.1819,0.1804,0.1746,0.1769,0.1811,0.1739,0.1704,0.1753,0.1767,0.1696,0.1499,0.1545,0.1543,0.1517,0.1384,0.1455,0.1429,0.1406,0.1353,0.1457,0.1457,0.1447,0.1512,0.157,0.1573,0.1501,0.1462,0.1447,0.1496,0.1478
CTXS US Equity,0.0904,0.0878,0.0958,0.0941,0.0892,0.0793,0.0742,0.0682,0.0583,0.0644,0.0649,0.072,0.0745,0.0781,0.0855,0.0817,0.0869,0.0942,0.0974,0.0958,0.0941,0.0881,0.0772,0.0739,0.0704,0.0663,0.0654,0.0672,0.068,0.0694,0.0664,0.0582,0.0557,0.063,0.0718,0.0822,0.092,0.0885,0.0897,0.0869,0.097,0.0946,0.0959,0.0915,0.1114,0.1094,0.1072,0.1017,0.1015,0.1091,0.1374
DXC US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0579,0.0617,0.0609,0.0622,0.0627,0.0625,
EA US Equity,0.0159,0.0054,-0.0383,-0.067,-0.081,-0.0739,-0.0823,-0.0795,-0.0704,-0.0883,-0.1024,-0.1071,-0.1049,-0.0575,-0.0292,-0.0583,-0.0271,0.0127,0.0032,-0.0077,0.0252,0.0181,0.0014,0.0196,0.0193,0.0339,0.0453,0.0098,0.0206,0.0636,0.1133,0.1823,0.1784,0.1855,0.1494,0.112,0.1143,0.1221,0.1314,0.1259,0.1356,0.1708,0.1624,0.1445,0.1506,0.1128,0.1422,0.1647,0.12,0.2424,0.2921
FIS US Equity,0.037,0.0477,0.062,0.0644,0.0653,0.0565,0.0343,0.0248,0.0211,0.0196,0.0261,0.0264,0.0345,0.0419,0.0561,0.0442,0.0428,0.0422,0.0377,0.0388,0.0394,0.0413,0.0426,0.0403,0.0428,0.0437,0.0453,0.049,0.0497,0.05,0.05,0.0535,0.0533,0.0595,0.0623,0.043,0.0423,0.0391,0.0403,0.0011,0.0006,-0.0002,0,0.0607,0.0652,0.0706,0.0739,0.0472,0.0456,0.0365,0.0216
