Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
MCHP US Equity,0.0000,0.0000,0.0000,0.4395,0.4578,0.4522,0.4567,0.4695,0.1389,0.1406,0.1395,0.1387,0.1354,0.1271,0.1225,0.1222,0.1170,0.1152,0.1158,0.1170,0.1151,0.1136,0.2468,0.2527,0.2553,0.2509,0.2538,0.2547,0.2509,0.3006,0.2909,0.2937,0.3821,0.3827,0.4645,0.4418,0.4430,0.4534,0.4390,0.4373,0.3838,0.3797,0.3746,0.3742,0.3716,0.5896,0.5832,0.5807,0.5617,0.5604,0.5574
MSCI US Equity,,,0.7875,0.4698,0.4359,0.4127,0.4100,0.3958,0.3847,0.3673,0.3559,0.3164,0.3087,0.0744,0.4293,0.4131,0.3847,0.3712,0.3637,0.3482,0.3451,0.2926,0.2835,0.2831,0.2734,0.2635,0.2620,0.2576,0.2595,0.2547,0.2753,0.2735,0.2762,0.2782,0.4689,0.5019,0.5580,0.5663,0.6273,0.6732,0.6908,0.6720,0.6585,0.6344,0.6216,0.6798,0.6764,0.7602,0.8397,0.8072,0.7939
MSFT US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0304,0.0290,0.0738,0.0735,0.0730,0.0706,0.0690,0.1165,0.1048,0.1195,0.1097,0.1110,0.1063,0.1012,0.0985,0.0981,0.1103,0.1059,0.1095,0.1119,0.1496,0.1453,0.1314,0.1398,0.1619,0.1804,0.2023,0.2231,0.2467,0.2551,0.2845,0.3364,0.3611,0.3733,0.3816,0.3845,0.3912,0.3610,0.3381,0.3413,0.3302,0.3280,0.3017,0.3068
MU US Equity,0.0615,0.1612,0.1626,0.1529,0.1745,0.1778,0.2030,0.2261,0.2512,0.2678,0.2446,0.2355,0.2275,0.1648,0.1606,0.1242,0.1209,0.1079,0.1356,0.1491,0.1637,0.2234,0.2277,0.2442,0.2624,0.2578,0.3158,0.2932,0.3220,0.2797,0.2905,0.2562,0.2821,0.3004,0.3041,0.3025,0.3070,0.3567,0.3598,0.3465,0.3840,0.3501,0.3151,0.2432,0.2258,0.1755,0.1069,0.0927,0.1314,0.1061,0.1197
MXIM US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0861,0.0908,0.0891,0.0869,0.0850,0.0885,0.0877,0.0841,-0.0797,0.0834,0.0826,0.1864,0.1285,0.1344,0.2331,0.2304,0.2273,0.2325,0.2425,0.2399,0.2345,0.2535,0.2540,0.2512,0.2928,0.2959,0.2511,0.2469,0.3255,0.3281,0.3262,0.3223,0.3348,0.3279,0.2550,0.2608,0.2651,0.2698
NTAP US Equity,0.0233,0.0194,0.0837,0.0738,0.0424,0.2801,0.2620,0.2438,0.1959,0.2007,0.1937,0.1825,0.1696,0.1675,0.1555,0.1465,0.1488,0.1498,0.1383,0.1348,0.1327,0.1293,0.1287,0.2059,0.2003,0.1103,0.1082,0.1106,0.1075,0.1577,0.1628,0.1619,0.1582,0.1711,0.1724,0.1696,0.2330,0.1697,0.1703,0.2081,0.2099,0.2488,0.2918,0.2219,0.1928,0.1956,0.2096,0.2027,0.2051,0.2210,
ORCL US Equity,0.1954,0.2196,0.1818,0.1750,0.1672,0.2377,0.2378,0.2508,0.2500,0.2159,0.2778,0.2740,0.2647,0.2380,0.2611,0.2533,0.2180,0.2165,0.2002,0.2027,0.1987,0.2103,0.1929,0.2480,0.2486,0.2261,0.2790,0.2835,0.2795,0.2670,0.3266,0.3302,0.3264,0.3783,0.3833,0.3939,0.3823,0.3909,0.4387,0.4395,0.4304,0.4290,0.3989,0.4372,0.4393,0.4397,0.4529,0.4905,0.5132,0.5167,0.5321
PAYX US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,0.0178,0.0076,0.0000,0.0075,0.0174,0.0084,0.0000,0.0080,0.0082,0.0824,0.0918,0.1139
QCOM US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0068,0.0067,0.0069,0.0069,0.0073,0.0074,0.0073,0.0420,0.0388,0.0364,0.0320,0.0287,0.0283,0.0260,0.0014,0.0007,0.0005,0.0004,0.0004,0.0003,0.0003,0.0002,0.0000,0.0000,0.0232,0.2087,0.2159,0.2180,0.2386,0.2318,0.2245,0.2231,0.2129,0.3401,0.3343,0.3550,0.3601,0.3621,0.5003,0.4785,0.4821,0.4812,0.4834
QRVO US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0948,,0.0000,0.0000,0.0000,0.0000,0.0115,0.1409,0.1498,0.1478,0.1464,0.1493,0.1517,0.1536,0.1528,0.1668,0.1541,0.0965,0.1236,0.1230,0.1583,0.1845,0.1864
